"record_id","redcap_event_name","redcap_repeat_instrument","redcap_repeat_instance","author","pub_yr","isolate_yr","who","country","count","mic50_1","mic90_1","micnos_1","alpha_3_code","alpha_2_code","numeric","economy","income_group","redcap_number","median_year","med_grp","midpoint_year","midpoint_grp","mean_year","mean_grp"
48,"mic_data_extractio_arm_1","mic_data_extraction",1,"Nakajima",1983,1981,6,"Japan",16,NA,NA,0.025,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1992,"1"
48,"mic_data_extractio_arm_1","mic_data_extraction",1,"Nakajima",1983,1981,6,"Japan",9,NA,NA,0.05,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1992,"1"
60,"mic_data_extractio_arm_1","mic_data_extraction",1,"Sakata",2013,2008,6,"Japan",7,NA,NA,0.008,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1992,"2"
60,"mic_data_extractio_arm_1","mic_data_extraction",1,"Sakata",2013,2008,6,"Japan",5,NA,NA,0.015,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1992,"2"
66,"mic_data_extractio_arm_1","mic_data_extraction",1,"Smeesters",2010,2004,2,"Brazil",124,NA,NA,0.004,"BRA","BR",76,"Brazil","Upper middle income",32,2004,1,2002,2,2003,"2"
66,"mic_data_extractio_arm_1","mic_data_extraction",1,"Smeesters",2010,2004,2,"Brazil",2,NA,NA,0.008,"BRA","BR",76,"Brazil","Upper middle income",32,2004,1,2002,2,2003,"2"
66,"mic_data_extractio_arm_1","mic_data_extraction",1,"Smeesters",2010,2004,2,"Brazil",1,NA,NA,0.016,"BRA","BR",76,"Brazil","Upper middle income",32,2004,1,2002,2,2003,"2"
66,"mic_data_extractio_arm_1","mic_data_extraction",1,"Smeesters",2010,2004,2,"Brazil",1,NA,NA,0.032,"BRA","BR",76,"Brazil","Upper middle income",32,2004,1,2002,2,2003,"2"
66,"mic_data_extractio_arm_1","mic_data_extraction",1,"Smeesters",2010,2004,2,"Brazil",2,NA,NA,0.012,"BRA","BR",76,"Brazil","Upper middle income",32,2004,1,2002,2,2003,"2"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,1999,4,"Iceland",3,NA,NA,0.012,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,2000,4,"Iceland",1,NA,NA,0.016,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,2001,4,"Iceland",1,NA,NA,0.012,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,2002,4,"Iceland",5,NA,NA,0.023,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,2007,4,"Iceland",1,NA,NA,0.012,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,2008,4,"Iceland",2,NA,NA,0.012,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
67,"mic_data_extractio_arm_1","mic_data_extraction",1,"Southon",2020,2009,4,"Iceland",2,NA,NA,0.016,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
68,"mic_data_extractio_arm_1","mic_data_extraction",1,"Soyletir",2016,2012,4,"Turkiye",1,NA,NA,0.002,"TUR","TR",792,"Türkiye","Upper middle income",228,2012,1,2006,2,2009,"2"
68,"mic_data_extractio_arm_1","mic_data_extraction",1,"Soyletir",2016,2012,4,"Turkiye",3,NA,NA,0.004,"TUR","TR",792,"Türkiye","Upper middle income",228,2012,1,2006,2,2009,"2"
