record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,author,pub_yr,isolate_yr,who,country,count,mic50_1,mic90_1,micnos_1
69,mic_data_extractio_arm_1,mic_data_extraction,1,Stefani,2008,2007,4,Italy,252,0.03,0.06,
70,mic_data_extractio_arm_1,mic_data_extraction,1,Stillerman,1970,1967,2,USA,29,,,0.005
70,,,,Stillerman,1970,1967,2,USA,64,,,0.01
70,,,,Stillerman,1970,1967,2,USA,5,,,0.02
71,mic_data_extractio_arm_1,mic_data_extraction,1,Stillerman,1973,1971,2,USA,41,,,0.004
71,,,,Stillerman,1973,1971,2,USA,40,,,0.008
71,,,,Stillerman,1973,1971,2,USA,18,,,0.016
71,,,,Stillerman,1973,1971,2,USA,4,,,0.032
72,mic_data_extractio_arm_1,mic_data_extraction,1,Syrogiannopoulos,2001,1999,4,Greece,274,0.008,0.008,
73,mic_data_extractio_arm_1,mic_data_extraction,1,Szczypa,2006,2001,4,Poland,41,0.008,0.015,
74,mic_data_extractio_arm_1,mic_data_extraction,1,Tappe,2011,2010,4,Germany,1,,,0.015
75,mic_data_extractio_arm_1,mic_data_extraction,1,Tempera,2010,2009,4,Italy,225,0.03,0.06,
77,mic_data_extractio_arm_1,mic_data_extraction,1,Torumkuney,2016,2013,5,India,42,,,0.015
77,,,,Torumkuney,2016,2013,5,India,34,,,0.03
77,,,,Torumkuney,2016,2013,5,India,2,,,0.12
78,mic_data_extractio_arm_1,mic_data_extraction,1,Traverso,2010,2002,2,Argentina,10,,0.007,
79,mic_data_extractio_arm_1,mic_data_extraction,1,Vannice,2020,2017,2,USA,4,,,0.012
79,,,,Vannice,2020,2017,2,USA,1,,,0.008
80,mic_data_extractio_arm_1,mic_data_extraction,1,Varaldo,1999,1997,4,Italy,917,,,0.03
80,,,,Varaldo,1999,1997,4,Italy,11,,,0.06
80,,,,Varaldo,1999,1997,4,Italy,6,,,0.12
81,mic_data_extractio_arm_1,mic_data_extraction,1,Villalon,2021,2013,4,Spain,1893,,0.032,
82,mic_data_extractio_arm_1,mic_data_extraction,1,Villalon,2023,2014,4,Spain,1983,0.016,0.023,
83,mic_data_extractio_arm_1,mic_data_extraction,1,Wajima,2014,2012,6,Japan,363,0.016,0.016,
84,mic_data_extractio_arm_1,mic_data_extraction,1,Yu,2021,2017,6,China,342,0.004,0.008,
85,mic_data_extractio_arm_1,mic_data_extraction,1,Zhou,2013,2009,6,China,20,0.015,0.015,
87,mic_data_extractio_arm_1,mic_data_extraction,1,Abraham,2018,2015,5,India,206,0.016,0.016,
88,mic_data_extractio_arm_1,mic_data_extraction,1,Amabile-Cuevas,2001,2001,2,Mexico,197,0.012,0.032,
93,mic_data_extractio_arm_1,mic_data_extraction,1,Bass,1994,1990,6,Japan,104,0.015,0.06,
93,,,,Bass,1994,1990,6,Japan,101,0.03,0.06,
94,mic_data_extractio_arm_1,mic_data_extraction,1,Betlejewska,2002,1999,4,Poland,50,0.007,0.015,
97,mic_data_extractio_arm_1,mic_data_extraction,1,Chang,2010,2007,6,China,94,0.125,0.125,
104,mic_data_extractio_arm_1,mic_data_extraction,1,Feldman,1987,1987,2,USA,20,,,0.02
108,mic_data_extractio_arm_1,mic_data_extraction,1,Fujita,1994,1985,6,Japan,670,,,0.016
122,mic_data_extractio_arm_1,mic_data_extraction,1,Hsueh,2004,2002,6,Taiwan,205,0.03,0.03,
133,mic_data_extractio_arm_1,mic_data_extraction,1,Liang,2008,2007,6,China,145,0.125,0.125,
158,mic_data_extractio_arm_1,mic_data_extraction,1,Ubukata,2020,2012,6,Japan,634,0.016,0.016,
239,mic_data_extractio_arm_1,mic_data_extraction,1,Kanellopoulou,1995,1993,4,Greece,49,,,0.004
249,mic_data_extractio_arm_1,mic_data_extraction,1,Kohno,2003,1999,,Worldwide,1485,0.008,0.008,
322,mic_data_extractio_arm_1,mic_data_extraction,1,Smayevsky,2000,1998,2,Argentina,96,0.004,0.008,
